description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
COOPER MIDDLE,510126000453,977 Balls Hill Rd,Mclean,VA,22101,977 Balls Hill Rd Mclean VA 22101,38.952238,-77.1922787
CRESTWOOD ELEMENTARY,510126000454,6010 Hanover Ave,Springfield,VA,22150,6010 Hanover Ave Springfield VA 22150,38.7869903,-77.1944349
CROSSFIELD ELEMENTARY,510126002118,2791 Fox Mill Rd,Herndon,VA,20171,2791 Fox Mill Rd Herndon VA 20171,38.916942,-77.3636389
CUB RUN ELEMENTARY,510126002061,5301 Sully Station Dr,Centreville,VA,20120,5301 Sully Station Dr Centreville VA 20120,38.865225,-77.4583828
CUNNINGHAM PARK ELEMENTARY,510126000455,1001 Park St SE,Vienna,VA,22180,1001 Park St SE Vienna VA 22180,38.8923444,-77.2501243
DANIELS RUN ELEMENTARY,510126002530,3705 Blenheim Boulevard,Fairfax,VA,22030,3705 Blenheim Boulevard Fairfax VA 22030,38.8522316,-77.2957409
DEER PARK ELEMENTARY,510126000768,15109 Carlbern Dr,Centreville,VA,20120,15109 Carlbern Dr Centreville VA 20120,38.8552164,-77.4705109
DOGWOOD ELEMENTARY,510126000458,12300 Glade Dr,Reston,VA,20191,12300 Glade Dr Reston VA 20191,38.9426674,-77.3710231
DRANESVILLE ELEMENTARY,510126002117,1515 Powells Tavern Pl,Herndon,VA,20170,1515 Powells Tavern Pl Herndon VA 20170,38.9964354,-77.3871694
EAGLE VIEW ELEMENTARY,510126002496,4500 Dixie Hill Road,Fairfax,VA,22030,4500 Dixie Hill Road Fairfax VA 22030,38.8514159,-77.3630389
EDISON HIGH,510126000461,5801 Franconia Rd,Alexandria,VA,22310,5801 Franconia Rd Alexandria VA 22310,38.7821116,-77.1339553
FAIRFAX COUNTY ADULT HIGH,510126000422,6815 Edsall Rd,Springfield,VA,22151,6815 Edsall Rd Springfield VA 22151,38.8058401,-77.1816765
FAIRFAX HIGH,510126000463,3501 LION RUN,Fairfax,VA,22030,3501 LION RUN Fairfax VA 22030,38.8599249,-77.2861288
FAIRFAX VILLA ELEMENTARY,510126000464,10900 Santa Clara Dr,Fairfax,VA,22030,10900 Santa Clara Dr Fairfax VA 22030,38.8407119,-77.3231767
FAIRHILL ELEMENTARY,510126000466,3001 Chichester Ln,Fairfax,VA,22031,3001 Chichester Ln Fairfax VA 22031,38.8699242,-77.2474191
FAIRVIEW ELEMENTARY,510126000467,5815 Ox Rd,Fairfax Station,VA,22039,5815 Ox Rd Fairfax Station VA 22039,38.7975238,-77.3248145
FALLS CHURCH HIGH,510126000468,7521 Jaguar Trail,Falls Church,VA,22042,7521 Jaguar Trail Falls Church VA 22042,38.8617531,-77.2067427
FLINT HILL ELEMENTARY,510126000469,2444 Flint Hill Rd,Vienna,VA,22181,2444 Flint Hill Rd Vienna VA 22181,38.8952999,-77.285074
FLORIS ELEMENTARY,510126000470,2708 Centreville Rd,Herndon,VA,20171,2708 Centreville Rd Herndon VA 20171,38.9356211,-77.4145232
FOREST EDGE ELEMENTARY,510126000471,1501 Beacontree Ln,Reston,VA,20190,1501 Beacontree Ln Reston VA 20190,38.9690153,-77.329675
FORESTDALE ELEMENTARY,510126000472,6530 Elder Ave,Springfield,VA,22150,6530 Elder Ave Springfield VA 22150,38.7762313,-77.1699951
FORESTVILLE ELEMENTARY,510126001837,1085 Utterback Store Rd,Great Falls,VA,22066,1085 Utterback Store Rd Great Falls VA 22066,38.9935086,-77.3283145
FORT BELVOIR ELEMENTARY,510126001767,5980 MEERES RD,Fort Belvoir,VA,22060,5980 MEERES RD Fort Belvoir VA 22060,38.721681,-77.1436337
FORT BELVOIR UPPER ELEMENTARY,510126003032,5970 MEERES ROAD,Fort Belvoir,VA,22060,5970 MEERES ROAD Fort Belvoir VA 22060,38.7222706,-77.1421349
FORT HUNT ELEMENTARY,510126000473,8832 Linton Ln,Alexandria,VA,22308,8832 Linton Ln Alexandria VA 22308,38.7188791,-77.0663507
FOX MILL ELEMENTARY,510126001838,2611 Viking Dr,Herndon,VA,20171,2611 Viking Dr Herndon VA 20171,38.9276862,-77.3823258
